full_part_number,section,subsection,position_details
EBlankSOL2Blank3C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(Blank): Clear Hole | Pos8(3): 0.76μm (30μ"") | Pos9(C): Plastic tray"
EBlankSOL2Blank3R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(Blank): Clear Hole | Pos8(3): 0.76μm (30μ"") | Pos9(R): Tape & reel"
EBlankSOL2RM51C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM5): Boardlock | Pos8(1): Gold flash | Pos9(C): Plastic tray"
EBlankSOL2RM51R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM5): Boardlock | Pos8(1): Gold flash | Pos9(R): Tape & reel"
EBlankSOL2RM52C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM5): Boardlock | Pos8(2): 0.4μm (15μ"") | Pos9(C): Plastic tray"
EBlankSOL2RM52R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM5): Boardlock | Pos8(2): 0.4μm (15μ"") | Pos9(R): Tape & reel"
EBlankSOL2RM53C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM5): Boardlock | Pos8(3): 0.76μm (30μ"") | Pos9(C): Plastic tray"
EBlankSOL2RM53R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM5): Boardlock | Pos8(3): 0.76μm (30μ"") | Pos9(R): Tape & reel"
EBlankSOL2RM81C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM8): Boardlock + Front Screwlock | Pos8(1): Gold flash | Pos9(C): Plastic tray"
EBlankSOL2RM81R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM8): Boardlock + Front Screwlock | Pos8(1): Gold flash | Pos9(R): Tape & reel"
EBlankSOL2RM82C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM8): Boardlock + Front Screwlock | Pos8(2): 0.4μm (15μ"") | Pos9(C): Plastic tray"
EBlankSOL2RM82R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM8): Boardlock + Front Screwlock | Pos8(2): 0.4μm (15μ"") | Pos9(R): Tape & reel"
EBlankSOL2RM83C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM8): Boardlock + Front Screwlock | Pos8(3): 0.76μm (30μ"") | Pos9(C): Plastic tray"
EBlankSOL2RM83R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2): L = 6.02mm (.237"") | Pos7(RM8): Boardlock + Front Screwlock | Pos8(3): 0.76μm (30μ"") | Pos9(R): Tape & reel"
EBlankSOL2CBlank1C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(Blank): Clear Hole | Pos8(1): Gold flash | Pos9(C): Plastic tray"
EBlankSOL2CBlank1R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(Blank): Clear Hole | Pos8(1): Gold flash | Pos9(R): Tape & reel"
EBlankSOL2CBlank2C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(Blank): Clear Hole | Pos8(2): 0.4μm (15μ"") | Pos9(C): Plastic tray"
EBlankSOL2CBlank2R,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(Blank): Clear Hole | Pos8(2): 0.4μm (15μ"") | Pos9(R): Tape & reel"
EBlankSOL2CBlank3C,How to Order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(E): 9 size | Pos4(Blank): Clear Hole | Pos5(S): Socket | Pos6(OL2C): L = 11.48mm (.452"") | Pos7(Blank): Clear Hole | Pos8(3): 0.76μm (30μ"") | Pos9(C): Plastic tray"
